exps,dataSets,attacks,budgets(%),metrics,result
1,CiteSeer,metattack,15,edge_homophily,0.478983569
1,CiteSeer,metattack,15,node_homophily,0.439890612
1,CiteSeer,metattack,15,class_homophily,0.43537751
1,CiteSeer,metattack,15,adjusted_homophily,0.216779911
1,CiteSeer,metattack,15,balanced_homophily,0.123854256
1,CiteSeer,metattack,20,edge_homophily,0.463749542
1,CiteSeer,metattack,20,node_homophily,0.424934761
1,CiteSeer,metattack,20,class_homophily,0.415679045
1,CiteSeer,metattack,20,adjusted_homophily,0.157045983
1,CiteSeer,metattack,20,balanced_homophily,0.111542715
1,CiteSeer,minmax,1,edge_homophily,0.539117133
1,CiteSeer,minmax,1,node_homophily,0.510233236
1,CiteSeer,minmax,1,class_homophily,0.527003558
1,CiteSeer,minmax,1,adjusted_homophily,0.380318542
1,CiteSeer,minmax,1,balanced_homophily,0.181120536
1,CiteSeer,minmax,5,edge_homophily,0.524348569
1,CiteSeer,minmax,5,node_homophily,0.498475022
1,CiteSeer,minmax,5,class_homophily,0.501849445
1,CiteSeer,minmax,5,adjusted_homophily,0.351425234
1,CiteSeer,minmax,5,balanced_homophily,0.165399215
1,CiteSeer,minmax,10,edge_homophily,0.504439397
1,CiteSeer,minmax,10,node_homophily,0.489547764
1,CiteSeer,minmax,10,class_homophily,0.472259607
1,CiteSeer,minmax,10,adjusted_homophily,0.304833805
1,CiteSeer,minmax,10,balanced_homophily,0.146905567
1,CiteSeer,minmax,15,edge_homophily,0.494375
1,CiteSeer,minmax,15,node_homophily,0.477975615
1,CiteSeer,minmax,15,class_homophily,0.45642788
1,CiteSeer,minmax,15,adjusted_homophily,0.294288283
1,CiteSeer,minmax,15,balanced_homophily,0.137010737
1,CiteSeer,minmax,20,edge_homophily,0.480563948
1,CiteSeer,minmax,20,node_homophily,0.47294733
1,CiteSeer,minmax,20,class_homophily,0.435797207
1,CiteSeer,minmax,20,adjusted_homophily,0.255742952
1,CiteSeer,minmax,20,balanced_homophily,0.124116567
1,CiteSeer,nodeembeddingattack,1,edge_homophily,0.543820723
1,CiteSeer,nodeembeddingattack,1,node_homophily,0.514784654
1,CiteSeer,nodeembeddingattack,1,class_homophily,0.5351815
1,CiteSeer,nodeembeddingattack,1,adjusted_homophily,0.393081619
1,CiteSeer,nodeembeddingattack,1,balanced_homophily,0.18623175
1,CiteSeer,nodeembeddingattack,5,edge_homophily,0.546127168
1,CiteSeer,nodeembeddingattack,5,node_homophily,0.514487896
1,CiteSeer,nodeembeddingattack,5,class_homophily,0.537288828
1,CiteSeer,nodeembeddingattack,5,adjusted_homophily,0.410202425
1,CiteSeer,nodeembeddingattack,5,balanced_homophily,0.18754883
1,CiteSeer,nodeembeddingattack,10,edge_homophily,0.546985599
